epoch,latitude,longitude,dop value
2023-03-08T22:13:27Z,60.000000000,-90.000000000,1.413927674
2023-03-08T22:13:27Z,63.000000000,-90.000000000,1.413908243
2023-03-08T22:13:27Z,66.000000000,-90.000000000,1.413890958
2023-03-08T22:13:27Z,69.000000000,-90.000000000,1.413875699
2023-03-08T22:13:27Z,72.000000000,-90.000000000,1.413862705
2023-03-08T22:13:27Z,75.000000000,-90.000000000,1.413851857
2023-03-08T22:13:27Z,78.000000000,-90.000000000,1.413843393
2023-03-08T22:13:27Z,81.000000000,-90.000000000,1.413837075
2023-03-08T22:13:27Z,84.000000000,-90.000000000,1.413833022
2023-03-08T22:13:27Z,87.000000000,-90.000000000,1.413831353
2023-03-08T22:13:27Z,90.000000000,-90.000000000,1.413832068
2023-03-08T22:13:27Z,93.000000000,-90.000000000,1.413834929
2023-03-08T22:13:27Z,96.000000000,-90.000000000,1.413840175
2023-03-08T22:13:27Z,99.000000000,-90.000000000,1.413847685
2023-03-08T22:13:27Z,102.000000000,-90.000000000,1.413857460
2023-03-08T22:13:27Z,105.000000000,-90.000000000,1.413869500
2023-03-08T22:13:27Z,108.000000000,-90.000000000,1.413883686
2023-03-08T22:13:27Z,111.000000000,-90.000000000,1.413900137
2023-03-08T22:13:27Z,114.000000000,-90.000000000,1.413918614
2023-03-08T22:13:27Z,117.000000000,-90.000000000,1.413939238
2023-03-08T22:13:27Z,120.000000000,-90.000000000,1.413961887
2023-03-08T22:13:27Z,123.000000000,-90.000000000,1.413986564
2023-03-08T22:13:27Z,126.000000000,-90.000000000,1.414013028
2023-03-08T22:13:27Z,129.000000000,-90.000000000,1.414041400
2023-03-08T22:13:27Z,132.000000000,-90.000000000,1.414071441
2023-03-08T22:13:27Z,135.000000000,-90.000000000,1.414103150
2023-03-08T22:13:27Z,138.000000000,-90.000000000,1.414136529
2023-03-08T22:13:27Z,141.000000000,-90.000000000,1.414171338
2023-03-08T22:13:27Z,144.000000000,-90.000000000,1.414207578
2023-03-08T22:13:27Z,147.000000000,-90.000000000,1.414245129
2023-03-08T22:13:27Z,150.000000000,-90.000000000,1.414283872
2023-03-08T22:13:27Z,153.000000000,-90.000000000,1.414323688
